year,state,district,season,crop_type,seed_variety,area_sown_hectares,irrigation_type,rainfall_mm,temperature_min_c,temperature_max_c,temperature_avg_c,humidity_pct,growing_season_days,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_type,soil_moisture_pct,previous_yield_tonnes_ha,yield_trend_pct_yoy,ndvi,yield_tonnes_per_hectare,sowing_year,sowing_month,sowing_day,sowing_day_of_year,temperature_range_c,rainfall_per_day,total_npk_kg_ha,np_ratio,kn_ratio
2022,Karnataka,Belagavi,Rabi,Maize,HQPM-1,1.52,Rainfed,573.7,17.5,37.0,26.8,53.3,99,6.3,80.8,52.4,87.8,Silty Loam,26.8,4.43,3.6,0.703,2.82,2022,11,10,314,19.5,5.7949494949494955,221.0,1.5419847328244274,1.0866336633663367
2019,Karnataka,Kalaburagi,Rabi,Maize,HQPM-1,22.19,Rainfed,805.9,17.3,31.5,23.9,70.4,109,6.46,156.1,62.5,81.7,Loamy,11.9,5.06,6.4,0.707,2.33,2019,11,25,329,14.2,7.393577981651376,300.3,2.4976,0.5233824471492633
2019,Punjab,Amritsar,Rabi,Wheat,HD-2967,8.5,Drip Irrigated,343.2,7.5,26.2,16.3,55.2,118,7.34,59.5,52.0,28.3,Loamy,47.6,4.37,3.1,0.649,2.31,2019,11,15,319,18.7,2.9084745762711863,139.8,1.1442307692307692,0.47563025210084037
2017,Madhya Pradesh,Jabalpur,Rabi,Wheat,HD-3086,7.48,Irrigated,339.7,14.9,27.2,21.4,34.5,145,6.83,116.7,60.3,50.1,Loamy,41.3,3.49,8.1,0.575,1.72,2017,10,29,302,12.299999999999999,2.342758620689655,227.1,1.9353233830845773,0.42930591259640105
2022,Rajasthan,Bikaner,Kharif,Cotton,Bunny-Bt,6.44,Rainfed,564.1,20.3,33.8,26.3,58.4,187,6.76,132.4,25.1,43.1,Alluvial,30.4,2.07,9.3,0.651,1.46,2022,6,4,155,13.499999999999996,3.016577540106952,200.6,5.274900398406374,0.3255287009063444
2025,Karnataka,Kalaburagi,Kharif,Rice,Swarna,0.72,Drip Irrigated,1134.1,17.8,30.8,23.5,76.9,133,6.63,158.2,68.8,77.9,Silty Loam,41.1,4.43,-1.3,0.735,3.47,2025,7,12,193,13.0,8.527067669172931,304.9,2.2994186046511627,0.49241466498103675
2021,Rajasthan,Jodhpur,Kharif,Cotton,Bunny-Bt,0.58,Rainfed,720.4,22.6,39.5,29.8,52.6,167,7.01,58.4,54.9,68.2,Alluvial,25.1,2.06,4.7,0.695,1.27,2021,7,26,207,16.9,4.31377245508982,181.5,1.0637522768670309,1.1678082191780823
2025,Maharashtra,Pune,Kharif,Cotton,RCH-2,4.49,Rainfed,611.0,18.6,32.2,25.2,53.1,153,6.65,102.9,60.6,87.9,Alluvial,40.5,1.74,-0.7,0.555,1.31,2025,7,10,191,13.600000000000001,3.9934640522875817,251.4,1.698019801980198,0.8542274052478134
2018,Maharashtra,Jalgaon,Rabi,Wheat,GW-322,11.95,Rainfed,327.1,15.9,26.7,21.5,57.2,123,7.04,105.9,37.0,15.5,Loamy,26.6,2.97,1.1,0.641,1.75,2018,11,20,324,10.799999999999999,2.6593495934959352,158.4,2.8621621621621625,0.14636449480642114
2018,Gujarat,Junagadh,Rabi,Wheat,HD-2967,0.97,Irrigated,477.8,12.9,30.2,21.5,42.5,144,6.75,121.7,36.8,66.6,Loamy,34.2,4.32,10.2,0.691,2.75,2018,11,9,313,17.299999999999997,3.3180555555555555,225.1,3.3070652173913047,0.5472473294987674
2019,Punjab,Ludhiana,Rabi,Wheat,GW-322,5.08,Irrigated,797.7,14.9,33.5,24.1,54.6,115,6.77,100.9,16.0,89.2,Clay Loam,41.7,3.79,-4.4,0.788,1.98,2019,10,18,291,18.6,6.936521739130435,206.10000000000002,6.30625,0.8840436075322101
