record_id,year,state,district,season,crop_type,sowing_date,seed_variety,area_sown_hectares,irrigation_type,rainfall_mm,temperature_min_c,temperature_max_c,temperature_avg_c,humidity_pct,growing_season_days,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_type,soil_moisture_pct,previous_yield_tonnes_ha,yield_trend_pct_yoy,ndvi,yield_tonnes_per_hectare
AGRI-00001,2022,Karnataka,Belagavi,Rabi,Maize,2022-11-10,HQPM-1,1.52,Rainfed,573.7,17.5,37,26.8,53.3,99,6.3,80.8,52.4,87.8,Silty Loam,26.8,4.43,3.6,0.703,2.82
AGRI-00002,2019,Karnataka,Kalaburagi,Rabi,Maize,2019-11-25,HQPM-1,22.19,Rainfed,805.9,17.3,31.5,23.9,70.4,109,6.46,156.1,62.5,81.7,Loamy,11.9,5.06,6.4,0.707,2.33
AGRI-00003,2019,Punjab,Amritsar,Rabi,Wheat,2019-11-15,HD-2967,8.5,Drip Irrigated,343.2,7.5,26.2,16.3,55.2,118,7.34,59.5,52,28.3,Loamy,47.6,4.37,3.1,0.649,2.31
AGRI-00004,2017,Madhya Pradesh,Jabalpur,Rabi,Wheat,2017-10-29,HD-3086,7.48,Irrigated,339.7,14.9,27.2,21.4,34.5,145,6.83,116.7,60.3,50.1,Loamy,41.3,3.49,8.1,0.575,1.72
AGRI-00005,2022,Rajasthan,Bikaner,Kharif,Cotton,2022-06-04,Bunny-Bt,6.44,Rainfed,564.1,20.3,33.8,26.3,58.4,187,6.76,132.4,25.1,43.1,Alluvial,30.4,2.07,9.3,0.651,1.46
AGRI-00006,2025,Karnataka,Kalaburagi,Kharif,Rice,2025-07-12,Swarna,0.72,Drip Irrigated,1134.1,17.8,30.8,23.5,76.9,133,6.63,158.2,68.8,77.9,Silty Loam,41.1,4.43,-1.3,0.735,3.47
AGRI-00007,2021,Rajasthan,Jodhpur,Kharif,Cotton,2021-07-26,Bunny-Bt,0.58,Rainfed,720.4,22.6,39.5,29.8,52.6,167,7.01,58.4,54.9,68.2,Alluvial,25.1,2.06,4.7,0.695,1.27
AGRI-00008,2025,Maharashtra,Pune,Kharif,Cotton,2025-07-10,RCH-2,4.49,Rainfed,611,18.6,32.2,25.2,53.1,153,6.65,102.9,60.6,87.9,Alluvial,40.5,1.74,-0.7,0.555,1.31
AGRI-00009,2018,Maharashtra,Jalgaon,Rabi,Wheat,2018-11-20,GW-322,11.95,Rainfed,327.1,15.9,26.7,21.5,57.2,123,7.04,105.9,37,15.5,Loamy,26.6,2.97,1.1,0.641,1.75
AGRI-00010,2018,Gujarat,Junagadh,Rabi,Wheat,2018-11-09,HD-2967,0.97,Irrigated,477.8,12.9,30.2,21.5,42.5,144,6.75,121.7,36.8,66.6,Loamy,34.2,4.32,10.2,0.691,2.75
AGRI-00011,2019,Punjab,Ludhiana,Rabi,Wheat,2019-10-18,GW-322,5.08,Irrigated,797.7,14.9,33.5,24.1,54.6,115,6.77,100.9,16,89.2,Clay Loam,41.7,3.79,-4.4,0.788,1.98
AGRI-00012,2023,Punjab,Bathinda,Kharif,Rice,2023-07-16,Pusa-44,15.56,Rainfed,1420.4,19.6,31.3,25.9,61.6,134,6.32,94.2,67.5,51.6,Silty Loam,29.7,4.25,-11,0.574,2.18
AGRI-00013,2023,Karnataka,Dharwad,Kharif,Soybean,2023-06-12,JS-335,0.7,Rainfed,726,15.8,30.1,23.9,71.2,106,5.46,129,55.1,71,Sandy Loam,30,1.76,11.9,0.469,0.82
AGRI-00014,2023,Madhya Pradesh,Jabalpur,Kharif,Cotton,2023-06-25,Bt-Cotton,0.51,Rainfed,686.4,27.8,42,33.2,55.2,151,7.08,173.4,66.7,65.9,Alluvial,33.7,1.46,4.8,0.432,1.4
AGRI-00015,2019,Punjab,Bathinda,Kharif,Cotton,2019-06-08,RCH-2,1.51,Rainfed,515,13.5,30.7,22.6,71.4,171,5.45,147,63.4,42,Black,35.7,1.88,-3,0.707,0.98
AGRI-00016,2021,Gujarat,Kheda,Kharif,Soybean,2021-07-18,NRC-37,1.65,Rainfed,925.3,17.9,33.7,24.4,56.8,110,6.83,157.9,51.5,47.3,Black,28.9,1.44,-1.4,0.512,0.98
AGRI-00017,2022,Punjab,Ludhiana,Rabi,Wheat,2022-12-09,GW-322,0.96,Rainfed,730.7,14.1,29.2,19.8,55.7,117,5.24,103.7,82.6,35.6,Clay Loam,33.6,4.17,-20,0.609,1.02
AGRI-00018,2019,Gujarat,Banaskantha,Kharif,Rice,2019-07-19,Swarna,11.05,Rainfed,1534.4,21.9,36.4,30.5,84.7,128,6.08,127.3,35.4,54.7,Clay,27.1,4.22,4,0.553,2.25
AGRI-00019,2017,Karnataka,Mandya,Rabi,Wheat,2017-10-27,HD-2967,1,Irrigated,501,5.4,21,14.6,65.1,139,7.01,74.6,20.4,32.1,Clay Loam,43.8,4.02,0.3,0.609,1.8
AGRI-00020,2019,Karnataka,Kalaburagi,Kharif,Soybean,2019-07-02,JS-335,5.22,Irrigated,655.7,18.9,35.8,25.7,63,93,6.84,61.2,35.4,72.4,Black,47.3,1.63,-5.1,0.639,0.96
AGRI-00021,2019,Punjab,Ludhiana,Kharif,Cotton,2019-06-27,RCH-2,4.76,Drip Irrigated,939.1,22,35.6,30,70.4,186,6.95,124.7,41.4,58.9,Black,41,1.86,7.5,0.749,1.86
